1.2844,1.1836,1.1432,1.2224,0.9748,1.0528,0.9288,1.1404,1.2572,1.0224,0.8408,0.7732,1.2672,1.4588,0.9476,0.916,1.2472,1.1216,1.3508,1.3032,1.3736,1.1116,1.1,0.8064,0.884,1.0208,0.926,0.9792,0.7848,0.7616,0.6752,1.06,1.4876,1.4932,1.2328,1.3104,0.8192,1.0728,0.9648,1.096,1.0196,0.9128,0.982,0.9736,0.972,0.9172,0.9416,0.8092,0.6856,0.8264,0.704,0.8108,0.7416,0.8584,0.7128,1.018,0.9216,0.6308,0.9388,0.9432,1.1392,1.45,1.4616,1.1936,1.3968,1.3364,1.234,1.348
1.1924,1.06,1.1808,1.214,0.9504,1.054,0.9704,1.1708,1.2068,0.9416,0.8624,0.6968,1.2528,1.3564,0.8296,0.854,1.2716,1.1648,1.306,1.286,1.3536,1.1348,1.07,0.802,0.8944,0.9892,0.9128,0.9776,0.74,0.7532,0.6796,0.9448,1.4832,1.5956,1.2356,1.3448,0.9576,1.0828,0.8956,1.0468,1.0168,0.9116,0.8928,0.9748,0.9504,0.9448,0.9056,0.9388,0.6496,0.8468,0.684,0.7832,0.6896,0.8768,0.7072,0.8512,0.7216,0.7416,0.9232,0.8624,1.0168,1.4056,1.3088,1.24,1.3292,1.3264,1.3276,1.368
1.1376,1.06,1.1936,1.28,1.054,1.0352,0.8884,1.172,1.2328,0.9576,0.8524,0.6608,1.2008,1.3664,0.7976,0.8396,1.2168,1.1448,1.368,1.3508,1.4528,1.2152,1.054,0.7804,0.8872,0.9632,0.9548,0.9332,0.7288,0.7328,0.7244,1.1248,1.6112,1.6532,1.4284,1.532,0.8324,1.2224,0.8656,0.992,0.9736,0.9964,0.8884,0.9044,0.9344,0.916,0.9172,0.8252,0.668,0.8496,0.704,0.7936,0.7012,0.8552,0.7012,0.8424,0.7256,0.7388,0.9376,0.8656,0.9892,1.43,1.296,1.2212,1.3376,1.384,1.4444,1.3464
1.1348,1.0584,1.1564,1.296,1.0744,1.028,0.8972,1.1908,1.2872,1.0168,0.9044,0.6424,1.1936,1.3664,0.8264,0.8656,1.1464,1.1188,1.28,1.2872,1.342,1.1592,1.198,0.8452,1.0096,0.9964,1.1592,0.946,0.7156,0.7144,0.7012,1.09,1.5552,1.5896,1.4688,1.5496,0.9304,1.1216,0.8696,1.1752,0.9344,1.0036,0.8668,0.8884,0.936,0.9288,0.9244,0.8008,0.8152,0.8296,0.694,0.812,0.7516,0.8712,0.7184,0.8612,0.7316,0.628,0.92,0.9028,1.0108,1.424,1.2068,1.1752,1.2772,1.188,1.1576,1.3192
1.168,1.0584,1.198,1.3148,0.982,1.0384,0.8624,1.1016,1.1824,0.9432,0.8164,0.6696,1.306,1.4344,0.808,0.8884,1.1736,1.1104,1.2932,1.2484,1.3408,1.0484,1.1548,0.8928,0.9936,0.9864,0.9848,0.9476,0.7388,0.7544,0.7792,1.0872,1.5092,1.6056,1.368,1.4716,0.9808,1.2456,0.9864,1.096,1.0296,1.0456,0.9592,0.972,0.9604,0.9692,0.9088,0.8236,0.6452,0.838,0.6856,0.792,0.6928,0.9144,0.71,0.8684,0.694,0.6092,1.0916,1.0712,0.9864,1.3088,1.1564,1.1392,1.2312,1.1708,1.1276,1.2904
1.234,1.1232,1.1664,1.2988,0.9776,0.9908,0.8828,1.0928,1.1824,1.0064,0.8236,0.6464,1.1548,1.3048,0.8784,0.9432,1.2268,1.1736,1.3032,1.24,1.3292,1.2052,1.0872,0.8008,0.8784,0.9764,0.9128,0.9172,0.7072,0.7372,0.782,1.06,1.5208,1.6156,1.3508,1.4284,0.9128,1.152,1.064,1.1548,1.2484,1.24,1.2008,1.0728,0.9504,0.9172,1.024,0.8352,0.6712,0.8496,0.7072,0.7992,0.704,0.91,0.7272,0.8612,0.7028,0.6104,1.0568,0.9964,1.0412,1.2772,1.162,1.152,1.244,1.2024,1.116,1.2816
1.1996,1.08,1.1664,1.2296,0.9692,0.9648,0.8496,1.142,1.1648,1.1116,0.8468,0.684,1.1968,1.3088,0.8468,0.89,1.1648,1.1032,1.3176,1.2484,1.3664,1.2024,1.0928,0.7792,0.8756,0.9736,0.9016,0.926,0.7228,0.7144,0.8224,1.0152,1.532,1.5912,1.332,1.4312,0.8828,1.106,1.0152,1.1016,1.1548,1.0972,1.0784,1.0036,0.9216,0.89,1.0468,0.808,0.6784,0.8192,0.7084,0.7904,0.694,0.9044,0.8136,0.8396,0.7156,0.6236,0.9244,0.9088,0.9908,1.27,1.1764,1.096,1.3132,1.1708,1.2616,1.3292
1.2196,1.0124,1.0872,1.2284,1.07,0.9376,0.982,1.2788,1.1952,1.1088,0.916,0.8308,1.2212,1.3104,0.88,0.864,1.168,1.1248,1.3132,1.2656,1.3376,1.2008,1.1836,0.8296,0.8612,1.0168,0.8956,0.952,0.854,0.854,0.9244,0.9676,1.4528,1.4472,1.3624,1.4776,0.88,1.1332,0.998,1.0916,1.064,1.0224,0.9792,0.972,0.9664,0.9172,0.998,0.884,0.7316,0.8944,0.7616,0.8596,0.7576,0.9952,0.8684,0.8944,0.7748,0.694,1.0052,0.9792,1.0208,1.4068,1.2872,1.1044,1.214,1.1304,1.1636,1.3264
1.24,1.0496,1.208,1.2716,1.1,0.8872,0.8872,1.2096,1.2988,1.0456,0.92,0.7776,1.224,1.3536,0.9088,0.92,1.2152,1.1608,1.4416,1.3912,1.3536,1.1536,1.1952,0.8108,0.8784,1.0152,0.9532,0.9576,0.7948,0.8064,0.8108,0.9748,1.4344,1.45,1.394,1.4804,0.8984,1.132,1.0368,1.0916,1.0268,1.0108,0.9648,0.998,0.9792,0.926,0.9748,0.864,0.674,0.8396,0.7028,0.7936,0.71,0.89,0.9304,0.8452,0.73,0.6136,0.9376,0.8944,1.0008,1.4704,1.2988,1.1648,1.2112,1.1432,1.1188,1.2916
1.2356,1.1348,1.2772,1.3204,1.0152,0.8944,0.8884,1.2224,1.2152,1.0208,0.89,0.7372,1.2368,1.348,0.8812,0.9632,1.1824,1.152,1.3592,1.3608,1.4356,1.2988,1.1864,0.8108,0.884,0.972,0.9476,0.9736,0.7632,0.7416,0.7676,0.9272,1.4456,1.4848,1.2904,1.3448,0.8252,1.096,1.1792,1.1016,1.054,1.0064,0.9748,1.0096,1.0584,0.9128,1.0268,0.9072,0.7532,0.926,0.7704,0.8296,0.7156,0.9,0.766,0.838,0.7388,0.5832,1.008,0.8828,0.9936,1.3392,1.2184,1.2988,1.3088,1.1492,1.1288,1.2484
