0.8396,0.7832,0.9188,0.8192,0.8352,1.0096,0.9736,0.9632,1.0252,1.0396,1.0052,0.6624,0.6536,0.8008,1.0712,1.024,0.9664,1.0224,0.956,1.0052,0.8624,1.0684,1.0856,0.962,1.2584,1.0368,1.0296,0.9188,0.9344,0.9532,1.1216,0.5948,0.6164,1.7136,1.62,0.8552,0.9288,1.1432,0.5904,0.9764,0.9908,0.972,0.9476,0.8696,0.9692,0.91,1.0888,0.8008,0.7876,0.6364,0.484
0.9116,0.782,0.8696,0.844,0.8928,1.0064,0.9964,0.8928,0.982,0.9676,0.992,0.6824,0.6536,0.7676,1.1016,0.9908,0.9836,1.0468,0.982,0.9504,1.0268,1.0152,1.1188,0.9332,1.2544,0.9892,1.0396,0.936,0.9028,0.9592,1.0972,0.5976,0.6176,1.7192,1.538,0.8336,0.9232,1.1592,0.5488,0.9692,0.972,0.9504,0.9776,0.8856,0.9776,0.9288,1.1348,0.8552,0.8452,0.6596,0.4264
0.8612,0.7504,0.9072,0.848,0.8424,0.9964,1.2688,0.8596,0.9272,0.988,0.9792,0.6608,0.6148,0.7892,1.1188,0.9964,0.9908,1.0412,1.0052,0.9676,0.9216,1.3204,1.28,1.1392,1.1924,0.9964,1.024,0.92,0.8264,0.962,1.0584,0.5832,0.5716,1.7712,1.5796,0.854,0.9288,1.162,0.5128,0.9088,0.9776,0.8972,1.0584,0.9244,0.9416,1.0468,1.1072,0.854,0.8552,0.632,0.5588
0.7832,0.766,0.8596,0.782,0.8352,0.9936,0.9964,0.7992,0.8984,0.9344,0.9288,0.6148,0.602,0.7172,1.0368,1.0612,1.0168,1.0456,0.9232,0.9432,0.8396,1.1348,1.0828,1.0456,1.1764,0.9404,0.998,0.8596,0.7948,0.8728,1.0888,0.6104,0.5616,1.7048,1.584,0.8712,0.92,1.1088,0.6524,1.06,0.9344,0.9476,1.0296,0.9576,0.9964,0.884,1.0856,0.8612,0.8036,0.6652,0.4752
0.7616,0.7084,0.7892,0.7488,0.8152,1.0384,0.9692,0.808,0.9144,0.8712,0.8656,0.5416,0.5428,0.7144,0.926,0.9548,0.9908,0.9304,0.9172,0.8352,0.7804,0.9128,0.9964,0.926,1.1276,0.884,0.9748,0.8784,0.8308,0.9376,1.0368,0.5516,0.5848,1.748,1.558,0.854,0.9576,1.1504,0.628,1.0816,0.9288,0.9216,1.0036,0.9,0.946,0.8956,1.028,0.8308,0.7616,0.704,0.4552
0.7748,0.694,0.7648,0.7388,0.7688,0.9432,0.9344,0.8468,0.854,0.9316,0.8984,0.566,0.5544,0.7604,0.9632,0.9344,0.936,0.9144,0.8684,0.8236,0.7616,1.0136,1.0096,0.9448,1.1188,0.9432,1.0196,0.848,0.8784,0.9488,1.0124,0.5416,0.5632,1.7668,1.5452,0.8408,0.9288,1.1608,0.704,1.0424,0.9088,0.9028,0.952,0.8264,0.9576,0.9344,1.0584,0.9088,0.7992,0.6596,0.4552
0.7676,0.6524,0.7388,0.7372,0.7488,0.9244,0.9592,0.91,0.9548,0.9344,0.9072,0.54,0.5516,0.7,0.9964,0.8972,0.9172,0.9808,0.884,0.7876,0.7832,0.92,1.0556,0.9172,1.1576,0.8972,0.9992,0.8656,0.8352,0.8828,0.9808,0.5428,0.5056,1.692,1.5712,0.8064,0.9172,1.1176,0.576,0.9504,0.9244,0.9532,0.9344,0.8468,0.9116,1.0352,1.142,0.9736,0.8368,0.6912,0.5416
0.6968,0.5932,0.7156,0.736,0.7388,0.8928,0.9648,0.962,1.0052,0.8872,0.8656,0.5472,0.5384,0.6768,0.988,0.9056,0.9344,0.9848,0.9332,0.7976,0.7544,0.9736,0.9864,0.8712,1.1908,0.9244,0.946,0.8856,0.8136,0.8668,1.0064,0.514,0.4952,1.6832,1.5496,0.8136,0.8828,1.1132,0.5284,0.962,0.9664,0.9044,1.0324,0.8912,0.9376,0.9632,1.096,0.8712,0.812,0.7472,0.5328
0.6868,0.6464,0.7316,0.766,0.864,0.91,0.9404,0.8308,0.9632,0.9128,0.8668,0.6064,0.4952,0.8108,0.9908,0.9604,0.92,1.0052,0.9,0.7992,0.756,1.008,1.0424,0.864,1.1504,0.9288,0.9288,0.9072,0.7992,0.8812,0.9964,0.5168,0.5344,1.6748,1.574,0.8568,0.9144,1.132,0.4868,0.9548,0.9232,0.9056,0.9964,0.9216,0.9028,0.9952,1.132,0.8612,0.8008,0.5876,0.4708
0.6752,0.6392,0.6868,0.7228,0.782,0.982,0.8828,0.8468,0.9776,0.8984,0.8756,0.5704,0.5056,0.792,0.9476,0.9604,0.9128,0.9648,0.8768,0.792,0.7532,0.9416,1.0208,0.916,1.0856,0.8872,1.0312,0.8584,0.8208,0.9244,0.9808,0.4968,0.5128,1.9168,1.5496,0.8224,0.8984,1.1824,0.5156,0.8856,0.9388,0.9576,1.0628,0.9532,0.9316,0.952,1.08,0.8236,0.884,0.6104,0.5356
