1.0412,1.4488,1.4456,1.07,1.024,0.9344,1.4068,1.528,1.1404,1.2428,0.8784,0.8496,0.9388,0.9692,1.0612,0.8324,0.9576,0.8568,0.838,0.8164,1.0928,0.9576,0.9592,1.1564,1.0612,1.3004,1.1232,1.3408,1.1288,0.8728,1.1896,0.9388,0.9244,1.3204,1.0916,0.602,0.6812,0.7388,1.3348,1.1248,0.8152,1.018,0.8452,0.74,1.0412,1.1348,1.0008,0.54,1.0224,1.0656,1.2184,0.9304,0.6436,1.1824,1.0108,1.0268,0.5068,0.7616,0.8368,0.478
1.0224,1.4428,1.4788,1.06,1.0512,0.9748,1.6072,1.5812,1.1548,1.2628,0.8468,0.8696,0.952,1.06,1.0368,0.8048,0.8296,0.8596,0.9232,0.838,1.0424,0.8872,0.9692,1.1348,0.998,1.1288,1.1504,1.26,1.2556,0.972,1.2284,0.9,0.8884,1.2656,1.09,0.5932,0.6752,0.6596,1.3304,1.1288,0.8224,1.0496,0.9172,0.8108,1.1476,1.0856,0.992,0.566,0.9332,1.0856,1.244,0.9316,0.6884,1.0484,1.1032,0.9592,0.5256,0.6968,0.7832,0.4552
0.9692,1.4888,1.4384,1.0196,0.9576,0.8668,1.5668,1.6072,1.136,1.2944,0.8912,0.8596,1.024,1.0268,1.0728,0.8352,0.812,0.8252,0.8768,0.8812,1.0396,0.8828,0.9576,1.0412,0.988,1.0988,1.136,1.2556,1.358,1.1132,1.4384,1.0512,0.9388,1.3032,1.1332,0.5704,0.7144,0.6896,1.3736,1.2096,0.8756,1.06,0.8956,0.8092,1.1248,1.0756,1.0024,0.4996,0.9648,1.054,1.2124,1.0024,0.736,1.064,1.07,1.0352,0.5716,0.7012,0.8164,0.4408
0.9736,1.4804,1.3708,0.9664,0.9128,0.808,1.404,1.4876,1.0728,1.1968,0.8696,0.7992,0.8756,0.8972,1.0196,0.8092,0.7732,0.7432,0.792,0.7992,1.0396,0.9188,0.9416,1.1044,0.9992,1.064,1.2688,1.2068,1.142,0.8912,1.2112,1.0208,0.9044,1.2412,1.0816,0.6092,0.808,0.8252,1.4888,1.0872,0.792,0.998,0.8568,0.7864,1.1132,1.0024,0.956,0.5212,0.9808,1.0456,1.1548,0.9332,0.6812,1.0584,1.0384,1.0312,0.5312,0.6896,0.8496,0.5256
0.9476,1.4888,1.3248,0.9936,0.9344,0.7748,1.3868,1.46,1.0496,1.2152,0.8092,0.756,0.8696,0.9056,0.9764,0.7112,0.7128,0.7,0.7272,0.7516,0.992,0.8192,0.916,1.0312,0.9244,1.0396,1.0196,1.1576,1.1132,0.802,1.1232,0.9172,0.9272,1.2052,1.0136,0.5588,0.88,0.89,1.6144,1.1144,0.7544,0.9792,0.8612,0.7532,1.0528,1.0312,1.0844,0.5272,0.946,1.0396,1.1144,0.9936,0.7256,1.0744,1.0168,0.9952,0.5672,0.736,0.8552,0.448
0.9504,1.4096,1.3232,1.0096,0.9388,0.7804,1.4068,1.4804,1.0828,1.1852,0.7472,0.7272,0.8208,0.8768,0.9188,0.7244,0.7388,0.7344,0.7532,0.766,0.992,0.8368,0.9188,1.008,0.9128,1.0196,1.018,1.126,1.1216,0.8768,1.1276,0.9548,0.8956,1.2484,1.028,0.514,0.8136,0.8164,1.486,1.096,0.8092,1.0268,0.7964,0.7864,1.0656,1.0772,0.9272,0.5848,0.998,1.126,1.1852,1.0296,0.648,1.1592,1.0712,1.0008,0.5732,0.7156,0.8552,0.4448
0.9144,1.4128,1.3436,0.926,0.9128,0.7992,1.4212,1.4228,1.0888,1.2152,0.7588,0.7688,0.8524,0.9332,0.9576,0.7388,0.7676,0.7244,0.7676,0.7344,0.9836,0.8336,0.8728,0.9548,0.8712,0.9908,1.0024,1.1708,1.07,0.8408,1.1072,0.8496,0.7892,1.1764,1.0296,0.5184,0.884,0.8972,1.3724,1.0916,0.844,0.9992,0.8552,0.746,1.0568,1.2068,1.0512,0.6568,1.0784,1.126,1.2556,1.2024,0.792,1.1104,1.1404,1.0352,0.5876,0.782,0.956,0.5804
0.952,1.4184,1.2772,0.9028,0.8696,0.7372,1.3768,1.4328,1.2428,1.42,0.8048,0.8048,0.8812,0.8872,0.9704,0.7256,0.6796,0.7172,0.7504,0.7776,0.962,0.8236,0.8756,0.9272,0.8872,1.0168,1.0584,1.152,1.0612,0.818,1.1216,0.8784,0.8496,1.1936,1.0052,0.5184,0.756,0.7344,1.4272,1.0628,0.7904,1.0312,0.854,0.7172,1.064,1.152,1.0352,0.5788,1.0096,1.1248,1.2672,1.0496,0.73,1.1708,1.162,1.1044,0.478,0.8584,0.9376,0.628
0.9416,1.424,1.2384,0.8624,0.8668,0.7648,1.378,1.424,1.168,1.2644,0.8208,0.7864,0.88,0.8524,0.9448,0.792,0.7432,0.8552,0.818,0.7688,0.9664,0.8396,0.8684,0.9404,0.8856,0.982,1.064,1.152,1.0872,0.8368,1.1232,0.8712,0.8712,1.2068,0.9992,0.5068,0.6928,0.6968,1.3808,1.1576,0.8912,1.07,0.8136,0.7156,1.0872,1.1752,0.962,0.5456,1.0152,1.106,1.1952,1.0136,0.7072,1.0224,1.0296,0.988,0.586,0.7028,0.8064,0.5672
0.9232,1.4328,1.178,0.9188,0.8884,0.746,1.3624,1.4128,1.116,1.1864,0.8308,0.746,0.8152,0.936,0.9244,0.7604,0.7344,0.7648,0.9,0.7216,0.9848,0.8252,0.8684,0.988,0.9388,1.0424,1.0456,1.1392,1.1664,0.8496,1.1,0.9188,0.9332,1.1664,1.024,0.494,0.6968,0.6812,1.358,1.0916,0.8496,1.1808,0.844,0.72,1.0844,1.0612,0.9792,0.5056,0.9448,1.028,1.142,0.9488,0.6596,1.0556,0.9936,0.9272,0.5992,0.6984,0.7804,0.5344
